cty_sub,wrk_at_home
Boston,11659
Cambridge,4242
Newton,4011
Worcester,3461
Lynn,2495
Somerville,2031
Brookline,1994
Amherst,1751
Lowell,1713
Waltham,1680
Springfield,1678
Framingham,1581
Salem,1487
Northampton,1462
Arlington,1400
Beverly,1368
Plymouth,1358
Medford,1313
Lexington,1298
Andover,1253
Barnstable,1237
Belmont,1232
Wellesley,1218
Haverhill,1206
Needham,1185
Franklin,1157
Concord,1083
Natick,1052
Marlborough,985
Peabody,977
Woburn,967
Lawrence,964
Watertown,959
Quincy,955
Chelmsford,950
Newburyport,946
Marblehead,942
Methuen,940
North Andover,938
Shrewsbury,937
Weymouth,928
Dartmouth,926
Sudbury,903
Westfield,893
Gloucester,881
Milton,859
New Bedford,854
Falmouth,823
Wayland,814
Hingham,792
Billerica,789
Winchester,789
Amesbury,783
Acton,781
Brockton,769
Northborough,743
Duxbury,732
Weston,714
Reading,701
Westborough,689
Easton,684
Fall River,674
Dedham,659
Melrose,659
Westwood,657
Hopkinton,652
Yarmouth,641
Norton,633
Westford,631
Malden,621
Holyoke,619
Everett,609
Milford,605
Wakefield,602
Braintree,601
Ipswich,598
Tewksbury,598
Danvers,586
Holliston,586
Leominster,574
Barre,571
Grafton,558
Hudson,551
Brewster,549
Longmeadow,546
Taunton,537
North Attleborough,532
Bedford,526
Easthampton,524
Pittsfield,522
Walpole,518
Chicopee,514
Sharon,514
Attleboro,511
Scituate,510
Sandwich,509
Burlington,504
Marshfield,504
Bridgewater,493
Canton,493
Sturbridge,488
Middleborough,487
Stoughton,487
West Springfield,485
Revere,484
Mansfield,483
Swampscott,479
Ashland,477
Fitchburg,474
Medfield,473
Dracut,455
Foxborough,449
Groton,447
Lunenburg,447
Norwood,441
Pembroke,436
North Reading,432
Webster,431
Wilmington,427
Wenham,423
Bourne,414
South Hadley,414
Wilbraham,414
Hamilton,405
Norwell,400
Agawam,398
Hull,396
Boxford,395
Lynnfield,395
Harvard,394
Bellingham,390
Southborough,387
Greenfield,382
Hanover,379
Seekonk,378
Norfolk,377
Uxbridge,374
Carlisle,372
Holden,372
Pepperell,363
Dalton,359
Chelsea,354
Fairhaven,354
Great Barrington,350
Gardner,349
Hanson,348
Harwich,345
Lincoln,343
Northbridge,341
Medway,339
Mashpee,337
Kingston,335
Wrentham,328
Leicester,326
Rockport,322
Townsend,319
Middleton,314
Wareham,313
East Longmeadow,310
Dover,305
Newbury,303
Bolton,301
Littleton,300
Sterling,300
Winthrop,296
Nantucket,294
Rehoboth,293
Stoneham,293
Spencer,292
Westport,292
Manchester-by-the-Sea,283
Palmer,279
Salisbury,278
Carver,273
Belchertown,272
Dennis,264
Southbridge,262
Ludlow,261
Somerset,259
Orleans,258
Cohasset,257
Randolph,255
Auburn,252
Orange,248
Plainville,248
Charlton,245
East Bridgewater,242
Lenox,241
Groveland,238
Hopedale,237
Montague,237
Rockland,236
West Tisbury,232
Sheffield,230
Truro,230
Mendon,228
Merrimac,228
Clinton,227
Saugus,225
Southwick,225
Stow,219
Stockbridge,216
Sutton,214
Upton,213
Essex,210
Paxton,209
Acushnet,204
Wellfleet,203
Abington,199
Dudley,199
Millbury,199
Boxborough,198
Provincetown,198
Rutland,198
Williamstown,198
Boylston,197
Topsfield,197
Adams,195
Hatfield,195
Westminster,195
Douglas,194
Mattapoisett,194
Southampton,190
West Newbury,184
Shirley,181
Tyngsborough,181
Georgetown,180
Lakeville,178
Chatham,175
Blackstone,173
Rowley,173
Oak Bluffs,171
Marion,170
Athol,166
Whitman,166
Eastham,162
Maynard,159
Dighton,156
Deerfield,153
Hadley,153
Sherborn,153
Ayer,150
Lancaster,150
Granby,149
Brimfield,148
Dunstable,148
Tisbury,148
Leverett,146
North Adams,145
Raynham,136
Williamsburg,132
Freetown,127
Ashburnham,126
Hampden,125
Lee,123
Swansea,123
Nahant,122
Conway,121
Holbrook,121
Monson,120
Gill,119
Princeton,111
West Bridgewater,111
Templeton,102
Winchendon,101
Hubbardston,100
Otis,97
Ashby,95
Ashfield,95
Millis,95
Westhampton,94
Shutesbury,91
Ware,91
Whately,90
Oxford,89
Shelburne,89
Egremont,88
West Brookfield,84
Rochester,82
Richmond,77
Lanesborough,74
New Marlborough,72
North Brookfield,72
West Boylston,71
Hardwick,70
West Sockbridge,64
Halifax,63
Granville,61
Edgartown,60
Berlin,58
Avon,57
Plympton,57
Bernardston,56
Hinsdale,56
Petersham,54
Goshen,53
Worthington,53
Becket,52
Plainfield,52
Colrain,50
Northfield,45
Huntington,42
Chilmark,41
Buckland,39
Sunderland,30
Warren,29
Charlemont,28
Cheshire,25
Hancock,18
Erving,16
Rowe,13
