cty_sub,wrk_at_home,pct
Abington,199,0.047
Acton,781,0.075
Acushnet,204,0.125
Adams,195,0.1
Agawam,398,0.033
Amesbury,783,0.132
Amherst,1751,0.071
Andover,1253,0.037
Arlington,1400,0.129
Ashburnham,126,0.13
Ashby,95,0.17
Ashfield,95,0.285
Ashland,477,0.086
Athol,166,0.04
Attleboro,511,0.03
Auburn,252,0.025
Avon,57,0.013
Ayer,150,0.03
Barnstable,1237,0.05
Barre,571,0.234
Becket,52,0.11
Bedford,526,0.029
Belchertown,272,0.1
Bellingham,390,0.066
Belmont,1232,0.147
Berlin,58,0.069
Bernardston,56,0.08
Beverly,1368,0.056
Billerica,789,0.033
Blackstone,173,0.121
Bolton,301,0.134
Boston,11659,0.019
Bourne,414,0.044
Boxborough,198,0.05
Boxford,395,0.298
Boylston,197,0.129
Braintree,601,0.023
Brewster,549,0.189
Bridgewater,493,0.056
Brimfield,148,0.213
Brockton,769,0.021
Brookline,1994,0.095
Buckland,39,0.069
Burlington,504,0.012
Cambridge,4242,0.032
Canton,493,0.025
Carlisle,372,0.287
Carver,273,0.106
Charlemont,28,0.092
Charlton,245,0.053
Chatham,175,0.052
Chelmsford,950,0.042
Chelsea,354,0.021
Cheshire,25,0.034
Chicopee,514,0.024
Chilmark,41,0.104
Clinton,227,0.044
Cohasset,257,0.087
Colrain,50,0.166
Concord,1083,0.08
Conway,121,0.41
Dalton,359,0.168
Danvers,586,0.024
Dartmouth,926,0.051
Dedham,659,0.044
Deerfield,153,0.037
Dennis,264,0.051
Dighton,156,0.081
Douglas,194,0.146
Dover,305,0.23
Dracut,455,0.071
Dudley,199,0.065
Dunstable,148,0.379
Duxbury,732,0.146
East Bridgewater,242,0.073
East Longmeadow,310,0.041
Eastham,162,0.116
Easthampton,524,0.103
Easton,684,0.071
Edgartown,60,0.026
Egremont,88,0.251
Erving,16,0.044
Essex,210,0.162
Everett,609,0.046
Fairhaven,354,0.047
Fall River,674,0.019
Falmouth,823,0.054
Fitchburg,474,0.031
Foxborough,449,0.037
Framingham,1581,0.032
Franklin,1157,0.062
Freetown,127,0.034
Gardner,349,0.034
Georgetown,180,0.07
Gill,119,0.213
Gloucester,881,0.069
Goshen,53,0.17
Grafton,558,0.131
Granby,149,0.147
Granville,61,0.217
Great Barrington,350,0.06
Greenfield,382,0.035
Groton,447,0.113
Groveland,238,0.153
Hadley,153,0.024
Halifax,63,0.06
Hamilton,405,0.193
Hampden,125,0.111
Hancock,18,0.035
Hanover,379,0.043
Hanson,348,0.159
Hardwick,70,0.12
Harvard,394,0.087
Harwich,345,0.079
Hatfield,195,0.095
